subsystem,versions,an_type,cm_type,proportion
external_javasqlite,A4.2_A4.3_CM10.1,body,refactored,0.0
external_javasqlite,A4.2_A4.3_CM10.1,body,argument,0.0
external_javasqlite,A4.2_A4.3_CM10.1,body,body,0.0
external_javasqlite,A4.2_A4.3_CM10.1,body,deleted,0.0
external_javasqlite,A4.2_A4.3_CM10.1,deleted,refactored,0.0
external_javasqlite,A4.2_A4.3_CM10.1,deleted,argument,0.0
external_javasqlite,A4.2_A4.3_CM10.1,deleted,body,0.0
external_javasqlite,A4.2_A4.3_CM10.1,deleted,deleted,0.0
external_javasqlite,A4.3_A4.4_CM10.2,identical,refactored,0.0
external_javasqlite,A4.3_A4.4_CM10.2,identical,argument,0.6666666666666666
external_javasqlite,A4.3_A4.4_CM10.2,identical,body,0.3333333333333333
external_javasqlite,A4.3_A4.4_CM10.2,identical,deleted,0.0
external_javasqlite,A4.3_A4.4_CM10.2,refactored,refactored,0.0
external_javasqlite,A4.3_A4.4_CM10.2,refactored,argument,0.0
external_javasqlite,A4.3_A4.4_CM10.2,refactored,body,0.0
external_javasqlite,A4.3_A4.4_CM10.2,refactored,deleted,0.0
external_javasqlite,A4.3_A4.4_CM10.2,argument,refactored,0.0
external_javasqlite,A4.3_A4.4_CM10.2,argument,argument,0.0
external_javasqlite,A4.3_A4.4_CM10.2,argument,body,0.0
external_javasqlite,A4.3_A4.4_CM10.2,argument,deleted,0.0
external_javasqlite,A4.3_A4.4_CM10.2,body,refactored,0.0
external_javasqlite,A4.3_A4.4_CM10.2,body,argument,0.0
external_javasqlite,A4.3_A4.4_CM10.2,body,body,0.0
external_javasqlite,A4.3_A4.4_CM10.2,body,deleted,0.0
external_javasqlite,A4.3_A4.4_CM10.2,deleted,refactored,0.0
external_javasqlite,A4.3_A4.4_CM10.2,deleted,argument,0.0
external_javasqlite,A4.3_A4.4_CM10.2,deleted,body,0.0
external_javasqlite,A4.3_A4.4_CM10.2,deleted,deleted,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,identical,refactored,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,identical,argument,0.6666666666666666
external_javasqlite,A4.4_A5.0.0_CM11.0,identical,body,0.3333333333333333
external_javasqlite,A4.4_A5.0.0_CM11.0,identical,deleted,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,refactored,refactored,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,refactored,argument,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,refactored,body,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,refactored,deleted,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,argument,refactored,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,argument,argument,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,argument,body,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,argument,deleted,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,body,refactored,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,body,argument,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,body,body,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,body,deleted,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,deleted,refactored,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,deleted,argument,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,deleted,body,0.0
external_javasqlite,A4.4_A5.0.0_CM11.0,deleted,deleted,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,identical,refactored,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,identical,argument,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,identical,body,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,identical,deleted,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,refactored,refactored,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,refactored,argument,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,refactored,body,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,refactored,deleted,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,argument,refactored,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,argument,argument,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,argument,body,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,argument,deleted,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,body,refactored,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,body,argument,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,body,body,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,body,deleted,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,deleted,refactored,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,deleted,argument,0.0
external_mockwebserver,A4.3_A4.4_CM10.2,deleted,body,1.0
external_mockwebserver,A4.3_A4.4_CM10.2,deleted,deleted,0.0
external_okhttp,A4.2_A4.3_CM10.1,identical,refactored,0.0
external_okhttp,A4.2_A4.3_CM10.1,identical,argument,0.0
external_okhttp,A4.2_A4.3_CM10.1,identical,body,0.0
external_okhttp,A4.2_A4.3_CM10.1,identical,deleted,0.0
external_okhttp,A4.2_A4.3_CM10.1,refactored,refactored,0.0
external_okhttp,A4.2_A4.3_CM10.1,refactored,argument,0.0
external_okhttp,A4.2_A4.3_CM10.1,refactored,body,0.0
external_okhttp,A4.2_A4.3_CM10.1,refactored,deleted,0.0
external_okhttp,A4.2_A4.3_CM10.1,argument,refactored,0.0
external_okhttp,A4.2_A4.3_CM10.1,argument,argument,0.0
external_okhttp,A4.2_A4.3_CM10.1,argument,body,0.0
external_okhttp,A4.2_A4.3_CM10.1,argument,deleted,0.0
external_okhttp,A4.2_A4.3_CM10.1,body,refactored,0.0
external_okhttp,A4.2_A4.3_CM10.1,body,argument,0.0
external_okhttp,A4.2_A4.3_CM10.1,body,body,0.0
external_okhttp,A4.2_A4.3_CM10.1,body,deleted,0.0
external_okhttp,A4.2_A4.3_CM10.1,deleted,refactored,0.0
external_okhttp,A4.2_A4.3_CM10.1,deleted,argument,0.0
external_okhttp,A4.2_A4.3_CM10.1,deleted,body,1.0
external_okhttp,A4.2_A4.3_CM10.1,deleted,deleted,0.0
external_okhttp,A4.3_A4.4_CM10.2,identical,refactored,0.0
external_okhttp,A4.3_A4.4_CM10.2,identical,argument,0.0
external_okhttp,A4.3_A4.4_CM10.2,identical,body,0.0
external_okhttp,A4.3_A4.4_CM10.2,identical,deleted,0.0
external_okhttp,A4.3_A4.4_CM10.2,refactored,refactored,0.0
external_okhttp,A4.3_A4.4_CM10.2,refactored,argument,0.0
external_okhttp,A4.3_A4.4_CM10.2,refactored,body,0.0
external_okhttp,A4.3_A4.4_CM10.2,refactored,deleted,0.0
external_okhttp,A4.3_A4.4_CM10.2,argument,refactored,0.0
external_okhttp,A4.3_A4.4_CM10.2,argument,argument,0.0
external_okhttp,A4.3_A4.4_CM10.2,argument,body,0.0
external_okhttp,A4.3_A4.4_CM10.2,argument,deleted,0.0
external_okhttp,A4.3_A4.4_CM10.2,body,refactored,0.0
external_okhttp,A4.3_A4.4_CM10.2,body,argument,0.0
external_okhttp,A4.3_A4.4_CM10.2,body,body,0.9259259259259259
external_okhttp,A4.3_A4.4_CM10.2,body,deleted,0.0
external_okhttp,A4.3_A4.4_CM10.2,deleted,refactored,0.0
external_okhttp,A4.3_A4.4_CM10.2,deleted,argument,0.0
external_okhttp,A4.3_A4.4_CM10.2,deleted,body,0.07407407407407407
external_okhttp,A4.3_A4.4_CM10.2,deleted,deleted,0.0
external_proguard,A4.4_A5.0.0_CM11.0,identical,refactored,0.0
external_proguard,A4.4_A5.0.0_CM11.0,identical,argument,0.0
external_proguard,A4.4_A5.0.0_CM11.0,identical,body,0.0
external_proguard,A4.4_A5.0.0_CM11.0,identical,deleted,0.0
external_proguard,A4.4_A5.0.0_CM11.0,refactored,refactored,0.0
external_proguard,A4.4_A5.0.0_CM11.0,refactored,argument,0.0
external_proguard,A4.4_A5.0.0_CM11.0,refactored,body,0.0
external_proguard,A4.4_A5.0.0_CM11.0,refactored,deleted,0.0
external_proguard,A4.4_A5.0.0_CM11.0,argument,refactored,0.0
external_proguard,A4.4_A5.0.0_CM11.0,argument,argument,0.0
external_proguard,A4.4_A5.0.0_CM11.0,argument,body,0.008403361344537815
external_proguard,A4.4_A5.0.0_CM11.0,argument,deleted,0.01680672268907563
external_proguard,A4.4_A5.0.0_CM11.0,body,refactored,0.0
external_proguard,A4.4_A5.0.0_CM11.0,body,argument,0.008403361344537815
external_proguard,A4.4_A5.0.0_CM11.0,body,body,0.0
external_proguard,A4.4_A5.0.0_CM11.0,body,deleted,0.0
external_proguard,A4.4_A5.0.0_CM11.0,deleted,refactored,0.0
external_proguard,A4.4_A5.0.0_CM11.0,deleted,argument,0.01680672268907563
external_proguard,A4.4_A5.0.0_CM11.0,deleted,body,0.0
external_proguard,A4.4_A5.0.0_CM11.0,deleted,deleted,0.9495798319327731
external_vogar,A6.0.0_A7.0.0_CM13.0,identical,refactored,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,identical,argument,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,identical,body,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,identical,deleted,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,refactored,refactored,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,refactored,argument,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,refactored,body,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,refactored,deleted,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,argument,refactored,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,argument,argument,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,argument,body,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,argument,deleted,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,body,refactored,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,body,argument,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,body,body,0.6
external_vogar,A6.0.0_A7.0.0_CM13.0,body,deleted,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,deleted,refactored,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,deleted,argument,0.0
external_vogar,A6.0.0_A7.0.0_CM13.0,deleted,body,0.4
external_vogar,A6.0.0_A7.0.0_CM13.0,deleted,deleted,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,identical,refactored,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,identical,argument,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,identical,body,1.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,identical,deleted,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,refactored,refactored,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,refactored,argument,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,refactored,body,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,refactored,deleted,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,argument,refactored,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,argument,argument,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,argument,body,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,argument,deleted,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,body,refactored,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,body,argument,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,body,body,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,body,deleted,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,deleted,refactored,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,deleted,argument,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,deleted,body,0.0
frameworks_opt_bluetooth,A5.0.0_A5.1.0_CM12.0,deleted,deleted,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,identical,refactored,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,identical,argument,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,identical,body,0.5
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,identical,deleted,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,refactored,refactored,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,refactored,argument,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,refactored,body,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,refactored,deleted,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,argument,refactored,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,argument,argument,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,argument,body,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,argument,deleted,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,body,refactored,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,body,argument,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,body,body,0.5
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,body,deleted,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,deleted,refactored,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,deleted,argument,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,deleted,body,0.0
frameworks_opt_bluetooth,A5.1.0_A6.0.0_CM12.1,deleted,deleted,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,identical,refactored,0.02702702702702703
