versions:android-7.0.0_r1,android-7.1.0_r1,cm-14.0
hardware_intel_common_utils,https://android.googlesource.com/platform/hardware/intel/common/utils,https://review.lineageos.org/LineageOS/android_hardware_intel_common_utils
hardware_intel_img_hwcomposer,https://android.googlesource.com/platform/hardware/intel/img/hwcomposer,https://review.lineageos.org/LineageOS/android_hardware_intel_img_hwcomposer
hardware_intel_img_psb_headers,https://android.googlesource.com/platform/hardware/intel/img/psb_headers,https://review.lineageos.org/LineageOS/android_hardware_intel_img_psb_headers
hardware_intel_img_psb_video,https://android.googlesource.com/platform/hardware/intel/img/psb_video,https://review.lineageos.org/LineageOS/android_hardware_intel_img_psb_video
hardware_libhardware,https://android.googlesource.com/platform/hardware/libhardware,https://review.lineageos.org/LineageOS/android_hardware_libhardware
hardware_libhardware_legacy,https://android.googlesource.com/platform/hardware/libhardware_legacy,https://review.lineageos.org/LineageOS/android_hardware_libhardware_legacy
hardware_qcom_bootctrl,https://android.googlesource.com/platform/hardware/qcom/bootctrl,https://review.lineageos.org/LineageOS/android_hardware_qcom_bootctrl
hardware_qcom_bt,https://android.googlesource.com/platform/hardware/qcom/bt,https://review.lineageos.org/LineageOS/android_hardware_qcom_bt
hardware_qcom_camera,https://android.googlesource.com/platform/hardware/qcom/camera,https://review.lineageos.org/LineageOS/android_hardware_qcom_camera
hardware_qcom_display,https://android.googlesource.com/platform/hardware/qcom/display,https://review.lineageos.org/LineageOS/android_hardware_qcom_display
hardware_qcom_gps,https://android.googlesource.com/platform/hardware/qcom/gps,https://review.lineageos.org/LineageOS/android_hardware_qcom_gps
hardware_qcom_keymaster,https://android.googlesource.com/platform/hardware/qcom/keymaster,https://review.lineageos.org/LineageOS/android_hardware_qcom_keymaster
hardware_qcom_media,https://android.googlesource.com/platform/hardware/qcom/media,https://review.lineageos.org/LineageOS/android_hardware_qcom_media
hardware_qcom_wlan,https://android.googlesource.com/platform/hardware/qcom/wlan,https://review.lineageos.org/LineageOS/android_hardware_qcom_wlan
hardware_ril,https://android.googlesource.com/platform/hardware/ril,https://review.lineageos.org/LineageOS/android_hardware_ril
hardware_ti_omap4xxx,https://android.googlesource.com/platform/hardware/ti/omap4xxx,https://review.lineageos.org/LineageOS/android_hardware_ti_omap4xxx
libcore,https://android.googlesource.com/platform/libcore,https://review.lineageos.org/LineageOS/android_libcore
packages_apps_Bluetooth,https://android.googlesource.com/platform/packages/apps/Bluetooth,https://review.lineageos.org/LineageOS/android_packages_apps_Bluetooth
packages_apps_Calendar,https://android.googlesource.com/platform/packages/apps/Calendar,https://review.lineageos.org/LineageOS/android_packages_apps_Calendar
packages_apps_Camera2,https://android.googlesource.com/platform/packages/apps/Camera2,https://review.lineageos.org/LineageOS/android_packages_apps_Camera2
packages_apps_CarrierConfig,https://android.googlesource.com/platform/packages/apps/CarrierConfig,https://review.lineageos.org/LineageOS/android_packages_apps_CarrierConfig
packages_apps_CellBroadcastReceiver,https://android.googlesource.com/platform/packages/apps/CellBroadcastReceiver,https://review.lineageos.org/LineageOS/android_packages_apps_CellBroadcastReceiver
packages_apps_CertInstaller,https://android.googlesource.com/platform/packages/apps/CertInstaller,https://review.lineageos.org/LineageOS/android_packages_apps_CertInstaller
packages_apps_Contacts,https://android.googlesource.com/platform/packages/apps/Contacts,https://review.lineageos.org/LineageOS/android_packages_apps_Contacts
packages_apps_ContactsCommon,https://android.googlesource.com/platform/packages/apps/ContactsCommon,https://review.lineageos.org/LineageOS/android_packages_apps_ContactsCommon
packages_apps_DeskClock,https://android.googlesource.com/platform/packages/apps/DeskClock,https://review.lineageos.org/LineageOS/android_packages_apps_DeskClock
