versions:android-4.2_r1,android-4.3_r1,cm-10.1
external_jmonkeyengine,https://android.googlesource.com/platform/external/jmonkeyengine,https://review.lineageos.org/LineageOS/android_external_jmonkeyengine
external_jpeg,https://android.googlesource.com/platform/external/jpeg,https://review.lineageos.org/LineageOS/android_external_jpeg
external_jsilver,https://android.googlesource.com/platform/external/jsilver,https://review.lineageos.org/LineageOS/android_external_jsilver
external_jsr305,https://android.googlesource.com/platform/external/jsr305,https://review.lineageos.org/LineageOS/android_external_jsr305
external_junit,https://android.googlesource.com/platform/external/junit,https://review.lineageos.org/LineageOS/android_external_junit
external_kernel-headers,https://android.googlesource.com/platform/external/kernel-headers,https://review.lineageos.org/LineageOS/android_external_kernel-headers
external_libcap-ng,https://android.googlesource.com/platform/external/libcap-ng,https://review.lineageos.org/LineageOS/android_external_libcap-ng
external_libffi,https://android.googlesource.com/platform/external/libffi,https://review.lineageos.org/LineageOS/android_external_libffi
external_libgsm,https://android.googlesource.com/platform/external/libgsm,https://review.lineageos.org/LineageOS/android_external_libgsm
external_liblzf,https://android.googlesource.com/platform/external/liblzf,https://review.lineageos.org/LineageOS/android_external_liblzf
external_libmtp,https://android.googlesource.com/platform/external/libmtp,https://review.lineageos.org/LineageOS/android_external_libmtp
external_libnfc-nci,https://android.googlesource.com/platform/external/libnfc-nci,https://review.lineageos.org/LineageOS/android_external_libnfc-nci
external_libnfc-nxp,https://android.googlesource.com/platform/external/libnfc-nxp,https://review.lineageos.org/LineageOS/android_external_libnfc-nxp
external_libnl-headers,https://android.googlesource.com/platform/external/libnl-headers,https://review.lineageos.org/LineageOS/android_external_libnl-headers
external_libogg,https://android.googlesource.com/platform/external/libogg,https://review.lineageos.org/LineageOS/android_external_libogg
external_libpcap,https://android.googlesource.com/platform/external/libpcap,https://review.lineageos.org/LineageOS/android_external_libpcap
external_libphonenumber,https://android.googlesource.com/platform/external/libphonenumber,https://review.lineageos.org/LineageOS/android_external_libphonenumber
external_libpng,https://android.googlesource.com/platform/external/libpng,https://review.lineageos.org/LineageOS/android_external_libpng
external_libppp,https://android.googlesource.com/platform/external/libppp,https://review.lineageos.org/LineageOS/android_external_libppp
external_libselinux,https://android.googlesource.com/platform/external/libselinux,https://review.lineageos.org/LineageOS/android_external_libselinux
external_libsepol,https://android.googlesource.com/platform/external/libsepol,https://review.lineageos.org/LineageOS/android_external_libsepol
external_libusb,https://android.googlesource.com/platform/external/libusb,https://review.lineageos.org/LineageOS/android_external_libusb
external_libusb-compat,https://android.googlesource.com/platform/external/libusb-compat,https://review.lineageos.org/LineageOS/android_external_libusb-compat
external_libvorbis,https://android.googlesource.com/platform/external/libvorbis,https://review.lineageos.org/LineageOS/android_external_libvorbis
external_libvpx,https://android.googlesource.com/platform/external/libvpx,https://review.lineageos.org/LineageOS/android_external_libvpx
external_libxml2,https://android.googlesource.com/platform/external/libxml2,https://review.lineageos.org/LineageOS/android_external_libxml2
external_libxslt,https://android.googlesource.com/platform/external/libxslt,https://review.lineageos.org/LineageOS/android_external_libxslt
external_libyuv,https://android.googlesource.com/platform/external/libyuv,https://review.lineageos.org/LineageOS/android_external_libyuv
external_linux-tools-perf,https://android.googlesource.com/platform/external/linux-tools-perf,https://review.lineageos.org/LineageOS/android_external_linux-tools-perf
external_littlemock,https://android.googlesource.com/platform/external/littlemock,https://review.lineageos.org/LineageOS/android_external_littlemock
external_llvm,https://android.googlesource.com/platform/external/llvm,https://review.lineageos.org/LineageOS/android_external_llvm
