versions,an_type,cm_type,proportion,count,color
CS6,identical,argument,0.033102386451116246,86,#48D373
CS6,identical,body,0.4692070823710547,1219,#48D373
CS6,identical,deleted,0.04503464203233257,117,#EA0D30
CS6,refactored,refactored,0.005388760585065435,14,#FCC168
CS6,refactored,argument,0.0007698229407236335,2,#FCC168
CS6,refactored,body,0.015396458814472672,40,#FCC168
CS6,refactored,deleted,0.0011547344110854503,3,#EA0D30
CS6,argument,refactored,0.0011547344110854503,3,#FCC168
CS6,argument,argument,0.007313317936874519,19,#EA0D30
CS6,argument,body,0.012317167051578136,32,#FCC168
CS6,argument,deleted,0.0007698229407236335,2,#EA0D30
CS6,body,refactored,0.008468052347959968,22,#FCC168
CS6,body,argument,0.008468052347959968,22,#FCC168
CS6,body,body,0.2317167051578137,602,#FCC168
CS6,body,deleted,0.007313317936874519,19,#EA0D30
CS6,deleted,refactored,0.011162432640492687,29,#EA0D30
CS6,deleted,argument,0.011547344110854504,30,#EA0D30
CS6,deleted,body,0.10662047729022325,277,#EA0D30
CS6,deleted,deleted,0.0,0,#48D373
CS7,identical,refactored,0.025380710659898477,55,#48D373
CS7,identical,argument,0.03645592985694508,79,#48D373
CS7,identical,body,0.8223350253807107,1782,#48D373
CS7,identical,deleted,0.0373788647900323,81,#EA0D30
CS7,refactored,refactored,0.0,0,#FCC168
CS7,refactored,argument,0.0,0,#FCC168
CS7,refactored,body,0.0027688047992616522,6,#FCC168
CS7,refactored,deleted,0.0,0,#EA0D30
CS7,argument,refactored,0.0,0,#FCC168
CS7,argument,argument,0.00046146746654360867,1,#EA0D30
CS7,argument,body,0.0013844023996308261,3,#FCC168
CS7,argument,deleted,0.0,0,#EA0D30
CS7,body,refactored,0.0018458698661744347,4,#FCC168
CS7,body,argument,0.0009229349330872173,2,#FCC168
CS7,body,body,0.0641439778495616,139,#FCC168
CS7,body,deleted,0.0,0,#EA0D30
CS7,deleted,refactored,0.00046146746654360867,1,#EA0D30
CS7,deleted,argument,0.0018458698661744347,4,#EA0D30
CS7,deleted,body,0.0046146746654360865,10,#EA0D30
CS7,deleted,deleted,0.0,0,#48D373
