name,color,proportion,count,label_y
CS1,No Conflict,0.5026954177897575,373,0.543800539083558
CS1,Conflict,0.20485175202156333,152,0.8975741239892183
CS1,Potential Conflict,0.29245283018867924,217,0.14622641509433962
CS2,No Conflict,0.5303030303030303,735,0.4188311688311688
CS2,Conflict,0.31601731601731603,438,0.841991341991342
CS2,Potential Conflict,0.15367965367965367,213,0.07683982683982683
CS3,No Conflict,0.43944984904394496,1310,0.5669238510566924
CS3,Conflict,0.2133512244213351,636,0.8933243877893324
CS3,Potential Conflict,0.3471989265347199,1035,0.17359946326735995
CS4,No Conflict,0.6590248627704229,2041,0.5038747174685179
CS4,Conflict,0.16661285114627059,516,0.9166935744268647
CS4,Potential Conflict,0.17436228608330642,540,0.08718114304165321
CS5,No Conflict,0.5374392220421393,1658,0.5316045380875203
CS5,Conflict,0.19967585089141004,616,0.900162074554295
CS5,Potential Conflict,0.26288492706645056,811,0.13144246353322528
CS6,No Conflict,0.5254041570438799,1365,0.5463818321785989
CS6,Conflict,0.19091608929946113,496,0.9045419553502694
CS6,Potential Conflict,0.283679753656659,737,0.1418398768283295
CS7,No Conflict,0.8841716658975542,1916,0.5131518227964929
CS7,Conflict,0.04476234425473004,97,0.977618827872635
CS7,Potential Conflict,0.07106598984771574,154,0.03553299492385787
